BRAND;"VENDOR CODE";TITLE;QUANTITY;WEIGHT;VOLUME;DELIVERY;STOCK;PRICE,AED;MIN_LOT
MITSUBISHI;'1015B105;CAMSHAFT,INLET;1;3,803;0,000;"=""3/6""";AB4;892,65;1
MITSUBISHI;'1015C291;CAMSHAFT,INLET;1;0,000;0,000;"=""3/6""";AB4;403,44;1
MITSUBISHI;'1015C294;CAMSHAFT,EXHAUST;1;1,265;0,000;"=""3/6""";AB4;399,52;1
MITSUBISHI;'1016A156;BEARING,CAMSHAFT(1);5;0,037;0,000;"=""3/6""";AB4;7,71;1
MITSUBISHI;'1016A157;BEARING,CAMSHAFT(2);8;0,033;0,000;"=""3/6""";AB4;7,19;1
MITSUBISHI;'1016A158;BEARING,CAMSHAFT(3);1;0,037;0,000;"=""3/6""";AB4;8,00;1
MITSUBISHI;'1025A078;"BOLT,ROCKER ARM PIVOT";35;0,015;0,000;"=""3/6""";AB4;9,62;1
MITSUBISHI;'1025A091;"ROCKER ARM,EXHAUST VALVE";137;0,075;0,000;"=""3/6""";AB4;54,83;1
MITSUBISHI;'1025A092;"ADJ SCREW,ROCKER ARM";13;0,011;0,000;"=""3/6""";AB4;5,03;1
MITSUBISHI;'1025A255;"ROCKER ARM,EXHAUST VALVE";1;0,082;0,000;"=""3/6""";AB4;63,86;1
MITSUBISHI;'1025A256;"ROCKER ARM,EXHAUST VALVE";3;0,081;0,000;"=""3/6""";AB4;63,86;1
MITSUBISHI;'1025A517;"ROCKER ARM & CAMSHAFT ASSY";1;10,692;0,000;"=""3/6""";AB4;3240,65;1
MITSUBISHI;'1026A012;"ADJUSTER,ROCKER ARM LASH";2;0,000;0,000;"=""3/6""";AB4;23,08;1
MITSUBISHI;'1028A011;"GASKET,O/FDR CONTVAL HSG";131;0,001;0,009;"=""3/6""";AB4;7,71;1
MITSUBISHI;'1028A021;"VALVE,OIL FEEDER CONTROL";1;0,261;0,000;"=""3/6""";AB4;403,63;1
MITSUBISHI;'1028A025;"FILTER,OIL FEEDER CONT VAL";7;0,012;0,000;"=""3/6""";AB4;9,32;1
MITSUBISHI;'1028A033;"GASKET,O/FDR CONTVAL HSG";13;0,004;0,009;"=""3/6""";AB4;8,48;1
MITSUBISHI;'1028A046;"VALVE,OIL FEEDER CONTROL";46;0,244;0,000;"=""3/6""";AB4;330,08;1
MITSUBISHI;'1028A052;"GASKET,ENG OIL LINE(*)";12;0,008;0,021;"=""3/6""";AB4;2,13;1
MITSUBISHI;'1028A053;"VALVE,OIL FEEDER CONTROL";2;0,244;0,000;"=""3/6""";AB4;403,63;1
MITSUBISHI;'1028A109;"VALVE,OIL FEEDER CONTROL";2;0,191;0,000;"=""3/6""";AB4;300,35;1
MITSUBISHI;'1028A110;"VALVE,OIL FEEDER CONTROL";1;0,193;0,000;"=""3/6""";AB4;403,63;1
MITSUBISHI;'1028A124;"BOLT,CYLINDER HEAD";2;0,000;0,000;"=""3/6""";AB4;3,67;1
MITSUBISHI;'1028A125;"VALVE,OIL FEEDER CONTROL";2;0,183;0,000;"=""3/6""";AB4;356,39;1
MITSUBISHI;'1032A101;TAPPET,VALVE;25;0,034;0,000;"=""3/6""";AB4;14,53;1
MITSUBISHI;'1032A102;TAPPET,VALVE;4;0,034;0,000;"=""3/6""";AB4;15,23;1
MITSUBISHI;'1032A103;TAPPET,VALVE;4;0,034;0,000;"=""3/6""";AB4;15,82;1
MITSUBISHI;'1032A104;TAPPET,VALVE;6;0,031;0,000;"=""3/6""";AB4;14,94;1
MITSUBISHI;'1032A105;TAPPET,VALVE;8;0,035;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A107;TAPPET,VALVE;2;0,034;0,000;"=""3/6""";AB4;16,81;1
MITSUBISHI;'1032A108;TAPPET,VALVE;10;0,035;0,000;"=""3/6""";AB4;15,38;1
MITSUBISHI;'1032A110;TAPPET,VALVE;6;0,034;0,000;"=""3/6""";AB4;15,71;1
MITSUBISHI;'1032A111;TAPPET,VALVE;4;0,034;0,000;"=""3/6""";AB4;14,13;1
MITSUBISHI;'1032A112;TAPPET,VALVE;14;0,032;0,000;"=""3/6""";AB4;15,82;1
MITSUBISHI;'1032A113;TAPPET,VALVE;2;0,033;0,000;"=""3/6""";AB4;16,81;1
MITSUBISHI;'1032A114;TAPPET,VALVE;4;0,034;0,000;"=""3/6""";AB4;14,09;1
MITSUBISHI;'1032A115;TAPPET,VALVE;1;0,034;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A116;TAPPET,VALVE;2;0,034;0,000;"=""3/6""";AB4;14,83;1
MITSUBISHI;'1032A117;TAPPET,VALVE;2;0,031;0,000;"=""3/6""";AB4;15,12;1
MITSUBISHI;'1032A118;TAPPET,VALVE;24;0,036;0,000;"=""3/6""";AB4;13,84;1
MITSUBISHI;'1032A119;TAPPET,VALVE;1;0,034;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A121;TAPPET,VALVE;11;0,035;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A122;TAPPET,VALVE;24;0,034;0,000;"=""3/6""";AB4;15,60;1
MITSUBISHI;'1032A124;TAPPET,VALVE;8;0,034;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A125;TAPPET,VALVE;3;0,035;0,000;"=""3/6""";AB4;13,80;1
MITSUBISHI;'1032A126;TAPPET,VALVE;5;0,034;0,000;"=""3/6""";AB4;14,28;1
MITSUBISHI;'1032A128;TAPPET,VALVE;12;0,033;0,000;"=""3/6""";AB4;14,94;1
MITSUBISHI;'1032A130;TAPPET,VALVE;5;0,034;0,000;"=""3/6""";AB4;15,12;1
MITSUBISHI;'1032A131;TAPPET,VALVE;5;0,034;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A132;TAPPET,VALVE;15;0,031;0,000;"=""3/6""";AB4;14,79;1
MITSUBISHI;'1032A133;TAPPET,VALVE;2;0,034;0,000;"=""3/6""";AB4;13,18;1
MITSUBISHI;'1032A135;TAPPET,VALVE;3;0,036;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A136;TAPPET,VALVE;4;0,036;0,000;"=""3/6""";AB4;15,82;1
MITSUBISHI;'1032A137;TAPPET,VALVE;4;0,034;0,000;"=""3/6""";AB4;15,30;1
MITSUBISHI;'1032A138;TAPPET,VALVE;10;0,034;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A139;TAPPET,VALVE;6;0,036;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A140;TAPPET,VALVE;2;0,040;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A141;TAPPET,VALVE;6;0,035;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A142;TAPPET,VALVE;3;0,034;0,000;"=""3/6""";AB4;15,82;1
MITSUBISHI;'1032A145;TAPPET,VALVE;3;0,037;0,000;"=""3/6""";AB4;15,67;1
MITSUBISHI;'1032A147;TAPPET,VALVE;32;0,035;0,000;"=""3/6""";AB4;17,91;1
MITSUBISHI;'1032A221;"CAP,VALVE GEAR TRAIN";577;0,003;0,000;"=""3/6""";AB4;1,72;1
MITSUBISHI;'1032A381;TAPPET,VALVE;2;0,036;0,000;"=""3/6""";AB4;15,52;1
MITSUBISHI;'1032A384;TAPPET,VALVE;3;0,036;0,000;"=""3/6""";AB4;16,29;1
MITSUBISHI;'1032A392;TAPPET,VALVE;1;0,040;0,000;"=""3/6""";AB4;16,37;1
MITSUBISHI;'1032A395;TAPPET,VALVE;7;0,035;0,000;"=""3/6""";AB4;16,22;1
MITSUBISHI;'1035A108;"GASKET,ROCKER COVER(*)";364;0,060;0,183;"=""3/6""";AB4;23,49;1
MITSUBISHI;'1035A181;"HOSE,ROCKER COVER BREATHER";3;0,045;0,205;"=""3/6""";AB4;14,09;1
MITSUBISHI;'1035A249;"COVER,ROCKER COVER,C";1;0,272;0,000;"=""3/6""";AB4;125,44;1
MITSUBISHI;'1035A419;"O-RING,ROCKER COVER";38;0,002;0,006;"=""3/6""";AB4;3,12;1
MITSUBISHI;'1035A422;VALVE,PCV;266;0,010;0,000;"=""3/6""";AB4;54,50;1
MITSUBISHI;'1035A467;"HOSE,ROCKER COVER PCV";90;0,033;0,150;"=""3/6""";AB4;12,88;1
MITSUBISHI;'1035A482;"HOSE,ROCKER COVER BREATHER";2;0,016;0,075;"=""3/6""";AB4;5,87;1
MITSUBISHI;'1035A484;"HOSE,ROCKER COVER BREATHER";2;0,092;0,420;"=""3/6""";AB4;18,24;1
MITSUBISHI;'1035A572;"BOLT,ROCKER COVER";9;0,018;0,000;"=""3/6""";AB4;2,06;1
MITSUBISHI;'1035A583;"GASKET,ROCKER COVER(*)";945;0,068;0,213;"=""3/6""";AB4;28,30;1
MITSUBISHI;'1035A598;"HOSE,ROCKER COVER BREATHER";1;0,039;0,175;"=""3/6""";AB4;19,05;1
MITSUBISHI;'1035A611;"HOSE,ENG BREATHER";1;0,085;0,390;"=""3/6""";AB4;27,64;1
MITSUBISHI;'1035A631;"COVER ASSY,ROCKER";1;0,000;0,000;"=""3/6""";AB4;1357,83;1
MITSUBISHI;'1035A643;"HOSE,ROCKER COVER PCV";107;0,036;0,099;"=""3/6""";AB4;14,24;1
MITSUBISHI;'1035A672;"HOSE,ROCKER COVER PCV";1;0,022;0,100;"=""3/6""";AB4;7,71;1
MITSUBISHI;'1035A692;COVER,ROCKER,RH;4;2,088;4,000;"=""3/6""";AB4;348,28;1
MITSUBISHI;'1035A693;COVER,ROCKER,LH;3;2,076;4,000;"=""3/6""";AB4;271,43;1
MITSUBISHI;'1035A698;"GASKET,ROCKER COVER";69;0,053;0,144;"=""3/6""";AB4;24,04;1
MITSUBISHI;'1035A702;"COVER ASSY,ROCKER,RH";2;1,186;4,000;"=""3/6""";AB4;315,18;1
MITSUBISHI;'1035A706;COVER,ROCKER;2;0,000;0,000;"=""3/6""";AB4;334,08;1
MITSUBISHI;'1035A714;"GASKET,ROCKER COVER(";416;0,120;0,093;"=""3/6""";AB4;27,19;1
MITSUBISHI;'1035A715;"HOSE,RKR COV BRTHR CROSS";2;0,107;0,485;"=""3/6""";AB4;45,54;1
MITSUBISHI;'1035A786;"HOSE,ROCKER COVER PCV";5;0,047;0,215;"=""3/6""";AB4;13,65;1
MITSUBISHI;'1035A789;VALVE,PCV;24;0,013;0,000;"=""3/6""";AB4;52,19;1
MITSUBISHI;'1035A790;"HOSE,ROCKER COVER PCV";58;0,044;0,200;"=""3/6""";AB4;13,51;1
MITSUBISHI;'1035A820;"HOSE,ROCKER COVER PCV";9;0,097;0,440;"=""3/6""";AB4;30,09;1
MITSUBISHI;'1035A840;"COVER ASSY,ROCKER,LH";9;1,096;4,000;"=""3/6""";AB4;376,32;1
MITSUBISHI;'1035A914;GASKET,R/COVER;23;0,075;0,240;"=""3/6""";AB4;31,16;1
MITSUBISHI;'1035A916;"GASKET,ROCKER COVER";10;0,075;0,204;"=""3/6""";AB4;38,06;1
MITSUBISHI;'1035A937;"COVER ASSY,ROCKER,RH";19;0,935;4,000;"=""3/6""";AB4;239,50;1
MITSUBISHI;'1035A942;"COVER ASSY,ROCKER,RH";12;1,201;4,000;"=""3/6""";AB4;276,61;1
MITSUBISHI;'1035A948;"COVER ASSY,ROCKER,LH";12;0,997;4,000;"=""3/6""";AB4;244,09;1
MITSUBISHI;'1035A956;"HOSE,ROCKER COVER PCV";1;0,000;0,000;"=""3/6""";AB4;21,10;1
MITSUBISHI;'1035A981;COVER,ROCKER,RH;60;2,098;4,000;"=""3/6""";AB4;219,87;1
MITSUBISHI;'1035A983;COVER,ROCKER,LH;23;2,081;4,000;"=""3/6""";AB4;213,45;1
MITSUBISHI;'1035B076;"GASKET,ROCKER COVER";171;0,042;0,114;"=""3/6""";AB4;25,14;1
MITSUBISHI;'1035B156;COVER,ROCKER;9;1,143;4,000;"=""3/6""";AB4;266,48;1
MITSUBISHI;'1035B184;"HOSE,ROCKER COVER PCV";1;0,099;0,450;"=""3/6""";AB4;29,03;1
MITSUBISHI;'1035B241;"COVER ASSY,ROCKER,LH";15;1,217;0,000;"=""3/6""";AB4;261,74;1
MITSUBISHI;'1035B243;"GASKET,ROCKER COVER";32;0,067;0,183;"=""3/6""";AB4;38,79;1
MITSUBISHI;'1035B270;COVER,ROCKER;1;0,000;0,000;"=""3/6""";AB4;266,52;1
MITSUBISHI;'1035B281;"GASKET,ROCKER COVER";107;0,075;0,234;"=""3/6""";AB4;30,75;1
MITSUBISHI;'1035B313;"COVER ASSY,ROCKER";2;1,827;0,000;"=""3/6""";AB4;671,21;1
MITSUBISHI;'1035B356;"HOSE,ROCKER COVER PCV";56;0,027;0,000;"=""3/6""";AB4;16,15;1
MITSUBISHI;'1035B365;"COVER ASSY,ROCKER";4;1,579;4,000;"=""3/6""";AB4;362,49;1
MITSUBISHI;'1035B405;"COVER ASSY,ROCKER";2;2,409;0,000;"=""3/6""";AB4;427,08;1
MITSUBISHI;'1050A379;"GASKET,CYLINDER BLOCK STIF";9;0,017;0,045;"=""3/6""";AB4;34,98;1
MITSUBISHI;'1050A763;"BOLT,CYLINDER BLOCK";6;0,053;0,000;"=""3/6""";AB4;4,95;1
MITSUBISHI;'1050B373;"O-RING,CYLINDER BLOCK";5;0,006;0,018;"=""3/6""";AB4;6,53;1
MITSUBISHI;'1052A099;"OIL SEAL,ROCKER COVER";361;0,010;0,000;"=""3/6""";AB4;14,42;1
MITSUBISHI;'1052A118;"OIL SEAL,CRANKSHAFT,RR";183;0,034;0,000;"=""3/6""";AB4;38,13;1
MITSUBISHI;'1052A192;"PLATE,CRANKSHAFT THRUST";6;0,026;0,000;"=""3/6""";AB4;15,41;1
MITSUBISHI;'1052A193;"PLATE,CRANKSHAFT THRUST";2;0,025;0,000;"=""3/6""";AB4;18,24;1
MITSUBISHI;'1052A266;"OIL SEAL,CRANKSHAFT,FR";1;0,011;0,000;"=""3/6""";AB4;25,14;1
